,keyword,num
0,room,2528
1,i,1686
2,hotel,1156
3,staff,758
4,breakfast,628
5,window,470
6,bed,448
7,night,372
8,old,366
9,wifi,340
10,date,305
11,time,301
12,book,294
13,pay,291
14,tire,276
15,bite,267
16,service,267
17,air,265
18,bathroom,259
19,reception,250
20,even,239
21,day,238
22,park,230
23,also,223
24,price,210
25,nothing,206
26,look,200
27,little,198
28,really,195
29,food,194
30,charge,190
31,open,189
32,shower,189
33,very,186
34,need,182
35,decor,178
36,stay,178
37,pool,173
38,door,172
39,use,169
40,water,169
41,check,167
42,carpet,165
43,double,163
44,restaurant,161
45,u,159
46,floor,157
47,facility,154
48,area,152
49,sleep,147
