,keyword,posi_num,nega_num
0,room,1451,2528
1,staff,822,758
2,hotel,640,1156
3,i,498,1686
4,price,268,210
5,breakfast,241,628
6,bed,202,448
7,restaurant,167,161
8,area,157,152
9,service,151,267
10,nothing,149,206
11,really,144,195
12,very,139,186
13,food,136,194
14,window,130,470
15,stay,129,178
16,facility,124,154
17,reception,110,250
18,book,105,294
19,night,89,372
20,bathroom,89,259
21,also,75,223
22,check,73,167
23,pool,69,173
24,even,68,239
25,time,67,301
26,day,62,238
27,little,62,198
28,u,61,159
29,look,55,200
